ID X Y Elevation Lon Lat
129 -2251110 2111103 544.26 -122.643626538417 39.1654835758485
130 -2263240 2118324 1131.46 -122.803198901136 39.1973468802782
131 -2250346 2111456 690.03 -122.636190940895 39.1703961308235
132 -2261013 2115337 1004.47 -122.768495747419 39.1772741812369
133 -2261936 2115025 1105.48 -122.777840525836 39.1723106521237
134 -2260150 2115046 853.63 -122.757865489154 39.1769199751279
135 -2260048 2115932 1038.67 -122.759597104593 39.1847667197757
136 -2262684 2118595 1006.26 -122.797839117982 39.2010498658003
137 -2262124 2119313 995.85 -122.79388741967 39.2085933889379
138 -2250329 2110885 484.53 -122.634154989161 39.1655422504196
139 -2249421 2111197 674.48 -122.624969667305 39.1704579690169
140 -2259473 2116419 1113.48 -122.754723974581 39.1903662684611
141 -2263654 2119987 1435.37 -122.813256722411 39.210570051743
142 -2263218 2118985 1232.86 -122.80510202824 39.2030661538112
143 -2262677 2119167 1127.37 -122.799620839233 39.2059692581803
144 -2262537 2119759 1145.07 -122.799974676014 39.2113902696079
145 -2261984 2119857 1071.52 -122.794084735253 39.21360305548
146 -2261182 2119360 812.42 -122.78346424041 39.211334167411
147 -2261478 2120306 926.71 -122.789863527763 39.2187070628362
148 -2263837 2118781 1282.69 -122.811386739245 39.199780531242
149 -2261471 2119789 900.06 -122.788103797922 39.2142936267898
150 -2260639 2120039 742.37 -122.77957460014 39.2185008238822
151 -2260900 2120668 815.33 -122.784550323985 39.2232439890643
152 -2259760 2120772 746.32 -122.772086361201 39.2269636686762
153 -2260789 2121622 688.45 -122.786405997893 39.2316955612523
154 -2260314 2120543 760.6 -122.777563442502 39.2236266951676
155 -2259668 2119769 704.33 -122.767793732398 39.218595398051
156 -2260265 2121208 770.2 -122.779175018648 39.2294476661075
157 -2259870 2120257 713.05 -122.771647887629 39.2222769145905
158 -2260169 2119847 705.65 -122.773672970362 39.2180212751009
159 -2260604 2119454 799.27 -122.777280097062 39.2135739129406
160 -2260008 2119232 727.63 -122.769866638907 39.2131496530421
161 -2258988 2120337 775.5 -122.762002940348 39.2251499113495
162 -2260765 2118624 878.41 -122.77639025584 39.2060609493681
163 -2261026 2121166 760.1 -122.787584629554 39.227199316283
164 -2261487 2121695 811.17 -122.794482243848 39.2305886808414
165 -2259484 2121604 720.19 -122.771690886173 39.2347790943334
166 -2258977 2118955 732.64 -122.757390168066 39.2133320597912
167 -2261087 2122144 764.29 -122.791450567788 39.2354296146599
168 -2261815 2122389 875.55 -122.800423732362 39.2357219539796
169 -2260132 2121916 685.14 -122.779983231034 39.235845575778
170 -2259449 2119254 697.17 -122.76366136554 39.2147245061074
171 -2259693 2118347 927.03 -122.76345469475 39.2063456762591
172 -2258870 2119647 695.27 -122.758436280041 39.2195284912419
173 -2259663 2122060 749.43 -122.775183728457 39.2382433009628
174 -2259122 2122010 789.8 -122.768944579939 39.2391566874639
175 -2259919 2122511 824.84 -122.779525540516 39.2414735162457
176 -2258651 2121227 789.03 -122.761109707216 39.2336136670752
177 -2257814 2119130 690.77 -122.744898734987 39.2177145741715
178 -2258063 2122170 1000.26 -122.75756893527 39.2431539945717
179 -2257966 2120156 661.33 -122.74993722233 39.2261320669412
180 -2258422 2119224 703.4 -122.752031600683 39.2170134646069
181 -2257994 2121410 896.39 -122.754324732436 39.2368109784767
182 -2258509 2120064 763.92 -122.755736710976 39.2239975798938
183 -2258163 2119675 769.31 -122.750587628022 39.2215210333135
184 -2258334 2120675 683.67 -122.755755978498 39.2296683535523
185 -2257530 2119696 667.39 -122.743546898211 39.2232697219698
186 -2258269 2118201 821.08 -122.746992014434 39.2086242661688
187 -2256977 2120883 722.9 -122.741189669258 39.2348142636912
188 -2258559 2121866 889.75 -122.762152692289 39.2393186410966
189 -2256763 2118957 616.15 -122.732534300838 39.2188354740901
190 -2258186 2118736 785.22 -122.747796931744 39.2134156062914
191 -2258667 2118537 808.77 -122.752551845904 39.2105177918311
192 -2257396 2118340 821.4 -122.737640448277 39.2119787707129
193 -2259186 2118476 840.02 -122.758181216959 39.2087083926576
194 -2259266 2117735 1006.21 -122.756673034887 39.2021589277682
195 -2258781 2117997 931.92 -122.752078473115 39.2056067927244
196 -2258603 2117088 942.52 -122.747129040765 39.1982566989124
197 -2258332 2117613 817.08 -122.74579060975 39.2034282071028
198 -2257625 2116916 745.13 -122.735590797903 39.1992055589479
199 -2257765 2117850 743.82 -122.74019358801 39.206864547776
200 -2257404 2121305 920.44 -122.747356407815 39.2373733297768
201 -2257786 2120868 838.52 -122.750227906732 39.2326809356408
202 -2256827 2121462 851.78 -122.741384730828 39.2401488231925
203 -2256009 2120940 926.23 -122.730501119488 39.2377007583532
204 -2255893 2121774 1199.42 -122.73190513468 39.2451369346397
205 -2257328 2120324 679 -122.743317154384 39.2291531133222
206 -2257262 2119207 621.42 -122.738949667052 39.2197422773561
207 -2256650 2119804 741.54 -122.734014047417 39.2263755957799
208 -2257890 2117354 755.24 -122.739987370882 39.2023033983757
209 -2258131 2116909 892.9 -122.741249006658 39.1978919985326
210 -2257233 2117452 747.41 -122.732928603398 39.204770944309
211 -2258651 2116250 1153.96 -122.744948043358 39.1909549931629
212 -2257868 2116167 981.38 -122.735888783712 39.1921834979507
213 -2256569 2116555 682.87 -122.722563525185 39.1987263884722
214 -2257041 2116900 668.67 -122.728982010168 39.2005148857199
215 -2257346 2116411 798.53 -122.730820079505 39.1955679362602
216 -2256252 2117484 718.56 -122.722017088314 39.2074745983884
217 -2257216 2115452 803.98 -122.726250178807 39.18766956185
218 -2264659 2123213 948.81 -122.835045230691 39.2357171347135
219 -2245749 2112816 749.93 -122.588963878781 39.1933941400234
220 -2252111 2119893 1673.78 -122.683314385033 39.2383713172377
221 -2251461 2117727 1352.74 -122.668996607941 39.2214084335932
222 -2264654 2122306 1147.22 -122.832034387993 39.2279573934326
223 -2264186 2122762 973.33 -122.828264532651 39.2330282398516
224 -2265052 2122757 1053.53 -122.837972600448 39.2308325617379
225 -2265227 2123305 1076.46 -122.84172330535 39.2350931903118
226 -2264864 2123749 1158.69 -122.839093814747 39.2398004342481
227 -2264328 2123646 1081.11 -122.832738818552 39.2402504288016
228 -2263595 2123311 847.74 -122.823415696014 39.2392015994169
229 -2263521 2122639 1086.38 -122.820396304777 39.2336268411139
230 -2262585 2123082 922.71 -122.811326986925 39.2397485554303
231 -2263130 2123022 969.44 -122.81725240901 39.2378804590349
232 -2262785 2122279 905.85 -122.810959147041 39.2323702991616
233 -2262944 2123841 876.04 -122.817830262643 39.24536103486
234 -2260009 2113430 908.75 -122.751038345821 39.1634186791902
235 -2261855 2113723 1265.41 -122.772702910456 39.1613528024134
236 -2252242 2109702 796.22 -122.651803447284 39.1506765586337
237 -2253054 2109743 943.8 -122.661048579021 39.149022459962
238 -2252633 2110009 821.44 -122.657184031113 39.1523429683483
239 -2252756 2110837 622.74 -122.661241957775 39.1591379884845
240 -2253059 2110216 865.66 -122.66263426148 39.1530653366769
241 -2253325 2110731 720.6 -122.667285215644 39.1568233940703
242 -2253210 2111696 730.22 -122.66911622727 39.1653807741253
243 -2254427 2111135 897.81 -122.680960007551 39.1575632631882
244 -2260862 2123026 730.15 -122.791792638698 39.2435470361146
245 -2261115 2122648 733.78 -122.793404585966 39.2396794831176
246 -2256660 2111138 1152.4 -122.706028199893 39.1520660678109
247 -2256472 2111712 920.77 -122.705777828092 39.1574517520263
248 -2255915 2112560 811.2 -122.702273698417 39.1660992679997
249 -2256061 2112049 796.48 -122.702257069893 39.1613575544945
250 -2257118 2112494 905.12 -122.715560933931 39.1625564234183
251 -2255499 2111959 800.48 -122.695658401405 39.1619763138198
252 -2256917 2112002 1057.64 -122.711711056333 39.1588364561705
253 -2256512 2112455 979.08 -122.708633703969 39.1637219587045
254 -2254726 2112522 607.1 -122.688805577932 39.1687145092262
255 -2257829 2111487 1079.33 -122.720276032751 39.1521643501807
256 -2256382 2113466 864.01 -122.710450465144 39.1727101856774
257 -2257428 2111843 1012.58 -122.716930093262 39.156208672401
258 -2256290 2112940 874.04 -122.707713523541 39.1684288684509
259 -2258199 2112307 920.08 -122.727085601574 39.1582771090811
260 -2255493 2113352 627.5 -122.700102671419 39.173932670494
261 -2256911 2113102 975.84 -122.715208180751 39.1682806192008
262 -2257649 2112348 858.51 -122.721046668725 39.1599903949898
263 -2257537 2112976 756.49 -122.721825338498 39.1656508378538
264 -2257231 2114131 734.67 -122.722135200444 39.1763089983114
265 -2256910 2113666 907.05 -122.717024909697 39.1731177284157
266 -2256325 2114413 735.68 -122.712879695298 39.1809691065928
267 -2257519 2113590 735.83 -122.723613743072 39.1709585329598
268 -2258244 2114323 655.93 -122.734127675695 39.175446128281
269 -2257767 2114069 657.59 -122.727950237511 39.1744503172553
270 -2257579 2114796 659.2 -122.728197576839 39.1811475495063
271 -2258413 2113432 888.08 -122.733134729871 39.1673902372811
272 -2248943 2108897 851.52 -122.612176971748 39.1519154852188
273 -2247623 2109428 475.6 -122.599073643594 39.1597230652461
274 -2261608 2116229 1360.1 -122.778070926047 39.1834432197383
275 -2261878 2115803 1288.14 -122.779717106737 39.1791223387103
276 -2262436 2115935 1380.13 -122.786408212634 39.1788689954347
277 -2261611 2115392 1209.35 -122.775385501593 39.176262283695
278 -2262258 2115440 1258.46 -122.782802197747 39.1750684261609
279 -2261456 2114927 1070.11 -122.772135730269 39.1726614657218
280 -2261780 2114561 1102.55 -122.774582836239 39.168720952457
281 -2262326 2114636 1183.3 -122.78095317842 39.1680091507892
282 -2261555 2114113 1175.65 -122.770603185749 39.1654394412046
283 -2262493 2113855 1298.1 -122.780289994862 39.1609013487528
284 -2260913 2114099 1046.97 -122.763353758787 39.1669115786689
285 -2262020 2114160 1162.05 -122.775973469911 39.1646888160658
286 -2262833 2115005 1331.25 -122.7878411065 39.1699134459843
287 -2260706 2113433 1124.16 -122.758869112811 39.1617166248128
288 -2260433 2114493 910.39 -122.759246344812 39.1714786301528
289 -2260391 2111942 1063.29 -122.750496632605 39.1497180765452
290 -2260354 2113908 959.74 -122.756460959532 39.1666604726354
291 -2259413 2114222 750.05 -122.746919928325 39.1716841392963
292 -2259949 2114261 791.73 -122.753061742768 39.1706899816731
293 -2259711 2113826 856.73 -122.748979254317 39.1675514244752
294 -2259224 2113151 824.97 -122.741324405925 39.1629725873464
295 -2259152 2113716 733.93 -122.742349207872 39.1679938022537
296 -2259644 2114758 764.69 -122.751251782908 39.1757058017988
297 -2258823 2114206 674.9 -122.740246512322 39.1730089250403
298 -2258709 2115137 803.4 -122.741987443434 39.1812713531399
299 -2259106 2114672 684.86 -122.74493457023 39.1763019758382
300 -2259303 2115165 775.85 -122.748745426792 39.1800394129895
301 -2258986 2115562 916.7 -122.746475710528 39.1842277905407
302 -2258347 2115676 901.27 -122.739672889107 39.1867882433021
303 -2259146 2116038 1011.52 -122.749816555564 39.1879111786799
304 -2260361 2112727 867.48 -122.752706940704 39.156520738328
305 -2258098 2115118 698.57 -122.735067604208 39.1826221812468
306 -2257775 2115597 875.44 -122.732995653435 39.1875280473514
307 -2251763 2110806 684.78 -122.649996272856 39.1613248189113
308 -2251914 2112002 554.11 -122.655558367582 39.1712060301461
309 -2252262 2110725 630.11 -122.655335236471 39.1593980031398
310 -2252111 2111370 535.43 -122.655725982182 39.165300933763
311 -2251531 2111536 574.31 -122.649752155501 39.1681565599401
312 -2250924 2111705 548.5 -122.643484451635 39.1711042810935
313 -2251354 2112072 627.6 -122.649498175683 39.1731891814585
314 -2250551 2112577 828.41 -122.642115685015 39.1795016202139
315 -2251746 2112935 693.41 -122.656689826327 39.1796201657347
316 -2252564 2111858 767.52 -122.662389130891 39.1683658058361
317 -2250447 2112017 781.95 -122.639137902922 39.174956898224
318 -2249735 2111856 799.47 -122.630623962574 39.1753337005398
319 -2249988 2112392 959.27 -122.635196596046 39.1793051145615
320 -2249002 2112530 574.43 -122.624571591597 39.1829214132428
321 -2249474 2112307 794.27 -122.629150823834 39.1798447509895
322 -2249973 2113388 1049.91 -122.638247490001 39.1878819757642
323 -2249067 2111770 551.9 -122.62284621423 39.1762444626757
324 -2250136 2112892 997.72 -122.638474404926 39.1832268820018
325 -2249663 2112760 831.63 -122.632736802355 39.1832625075058
326 -2250849 2113401 908.84 -122.648125737557 39.1858307740737
327 -2252786 2111371 684.69 -122.663305780405 39.1636420850669
328 -2252380 2112568 585.82 -122.662620310197 39.1749075273483
329 -2248341 2110926 522.88 -122.611969430691 39.1707981360561
330 -2249052 2113452 762.21 -122.628112180916 39.1907036557031
331 -2253032 2112358 829.24 -122.669260048141 39.1714961353537
332 -2248838 2111233 480.65 -122.618540671166 39.1722048256901
333 -2249098 2110695 488.55 -122.619722118674 39.1669503897322
334 -2248106 2111862 734.43 -122.612353212437 39.1794036154004
335 -2248596 2110407 463.09 -122.613156544104 39.1657190139915
336 -2247724 2110301 524.1 -122.603024790907 39.1669600977594
337 -2249499 2113231 920.61 -122.632417491885 39.1877057023346
338 -2249101 2112987 785.54 -122.627159819391 39.1865956668187
339 -2249545 2113887 964.56 -122.635054369256 39.193216868546
340 -2248319 2112917 587.44 -122.618152340042 39.1879245997145
341 -2248689 2113179 682.11 -122.623153698844 39.1892584329348
342 -2248084 2113642 614.37 -122.617855290417 39.1947208432753
343 -2248594 2113682 705.64 -122.623712061556 39.1938057700061
344 -2248275 2114481 826.28 -122.622711192429 39.2014437770721
345 -2249029 2113975 915.54 -122.62954408697 39.195244797031
346 -2249428 2114759 1021.87 -122.636559362929 39.2009823283793
347 -2253043 2113508 526.48 -122.673104931867 39.1813281605274
348 -2253899 2112236 730.01 -122.6785972306 39.1683073710277
349 -2250399 2114186 1005.25 -122.645611211757 39.1936723792384
350 -2252858 2112934 658.06 -122.669170518223 39.1768643180229
351 -2252302 2113164 529.54 -122.663672767459 39.1802100016683
352 -2253654 2112995 825.07 -122.678303716539 39.1754199315259
353 -2251675 2113896 701.17 -122.659001265197 39.1880347602234
354 -2259904 2116674 1182.32 -122.760390020197 39.1914833766345
355 -2260168 2117057 1109.34 -122.764597326815 39.1941114192381
356 -2260021 2117581 988.46 -122.764649035333 39.1989670574816
357 -2260366 2118122 908.31 -122.770279592112 39.2027482363994
358 -2260839 2117935 1014 -122.774982092139 39.1999722626216
359 -2260176 2118673 802.32 -122.769936631528 39.2079419417052
360 -2263118 2119583 1353.15 -122.805924834587 39.2084392262676
361 -2262964 2120121 1253.84 -122.805946279962 39.2134322237938
362 -2261476 2118708 1035.21 -122.784645503272 39.2050167384231
363 -2261645 2119177 852.69 -122.788067527655 39.2086167899899
364 -2261997 2118849 976.36 -122.790952870272 39.2049320995614
365 -2259153 2117188 1174.27 -122.753628318131 39.1977506612096
